Membership No  Date Joined  Active  
    31610      2018-1-7     no    
    98963      2020-1-4     no    
    26670      2016-6-18    no    
    29846      2018-1-1     no    
    90617      2020-10-9    no    
    48178      2018-1-5     no    
    91016      2015-12-18   no    
    87816      2016-10-4    no    
    87817      2018-7-20    no    
    61664      2019-5-7     no    
    86066      2016-4-9     no    
    56895      2017-7-18    no    
    44721      2017-5-15    no    
    16716      2017-2-12    no    
    86765      2020-5-6     no    
    10795      2015-1-13    no    
