Membership No  Date Joined  Active  
    29915      2020-5-9     no    
    88288      2015-5-24    no    
    34037      2015-10-19   no    
    43179      2017-5-21    no    
    32668      2020-11-6    no    
    23545      2016-8-20    no    
    73828      2016-10-24   no    
    28871      2016-2-18    no    
    17296      2016-4-9     no    
    31450      2020-7-9     no    
    73245      2016-3-21    no    
    11493      2017-8-9     no    
    91773      2018-5-5     no    
    80894      2020-3-1     no    
